offspring	mother	father
JV0624F08	JV0624	JV0851
JV0624F09	JV0624	JV0622
JV0624F10	JV0624	JV0788
JV0624F11	JV0624	JV0619
JV0624F12	JV0624	JV0851
JV0624F18	JV0624	JV0618
JV0624F19	JV0624	JV0851
JV0624F20	JV0624	JV0851
JV0624F21	JV0624	JV0618
JV0624F23	JV0624	JV0620
JV0624F24	JV0624	JV0796
JV0624F25	JV0624	JV0618
JV0624F26	JV0624	JV0617
JV0624F27	JV0624	JV0622
JV0624F28	JV0624	JV0851
JV0624F29	JV0624	JV0851
JV0624F30	JV0624	JV0619
JV0786F01	JV0786	JV0615
JV0786F03	JV0786	JV0787
JV0786F04	JV0786	JV0786
JV0786F06	JV0786	JV0787
JV0786F07	JV0786	JV0787
JV0786F08	JV0786	JV0787
JV0786F09	JV0786	JV0787
JV0786F10	JV0786	JV0786
JV0786F12	JV0786	JV0602
JV0786F13	JV0786	JV0787
JV0786F14	JV0786	JV0786
JV0786F16	JV0786	JV0851
JV0786F17	JV0786	JV0851
JV0786F23	JV0786	JV0786
JV0786F24	JV0786	JV0602
JV0786F25	JV0786	JV0787
JV0786F28	JV0786	JV0787
JV0787F01	JV0787	JV0791
JV0787F04	JV0787	JV0789
JV0787F05	JV0787	JV0789
JV0787F06	JV0787	JV0787
JV0787F08	JV0787	JV0608
JV0787F11	JV0787	JV0797
JV0787F14	JV0787	JV0789
JV0787F15	JV0787	JV0786
JV0787F16	JV0787	JV0798
JV0787F17	JV0787	JV0787
JV0787F19	JV0787	JV0789
JV0787F21	JV0787	JV0787
JV0787F22	JV0787	JV0605
JV0787F24	JV0787	JV0786
JV0787F25	JV0787	JV0605
JV0787F29	JV0787	JV0786
JV0853F01	JV0853	JV0852
JV0853F02	JV0853	JV0852
JV0853F03	JV0853	JV0852
JV0853F06	JV0853	JV0612
JV0853F07	JV0853	JV0624
JV0853F10	JV0853	JV0852
JV0853F11	JV0853	JV0852
JV0853F12	JV0853	JV0852
JV0853F14	JV0853	JV0852
JV0853F15	JV0853	JV0798
JV0853F16	JV0853	JV0852
JV0853F17	JV0853	JV0852
JV0853F18	JV0853	JV0852
JV0853F19	JV0853	JV0852
JV0853F20	JV0853	JV0852
JV0853F21	JV0853	JV0852
JV0853F23	JV0853	JV0852
JV0853F24	JV0853	JV0852
JV0853F25	JV0853	JV0852
JV0853F28	JV0853	JV0624
JV0853F29	JV0853	JV0852
JV0853F30	JV0853	JV0852
4S0164F01	4S0164	4S0167
4S0164F02	4S0164	4S0163
4S0164F04	4S0164	4S0163
4S0164F05	4S0164	4S0163
4S0164F06	4S0164	4S0188
4S0164F07	4S0164	4S0163
4S0164F08	4S0164	4S0171
4S0164F10	4S0164	4S0191
4S0164F11	4S0164	4S0163
4S0164F13	4S0164	4S0188
4S0164F15	4S0164	4S0176
4S0164F16	4S0164	4S0168
4S0169F01	4S0169	4S0167
4S0169F02	4S0169	4S0167
4S0169F03	4S0169	4S0167
4S0169F04	4S0169	4S0167
4S0169F05	4S0169	4S0222
4S0169F06	4S0169	4S0171
4S0169F07	4S0169	4S0191
4S0169F08	4S0169	4S0167
4S0169F09	4S0169	4S0158
4S0169F10	4S0169	4S0167
4S0169F11	4S0169	4S0163
4S0169F12	4S0169	4S0167
4S0169F14	4S0169	4S0216
4S0169F15	4S0169	4S0166
4S0189F01	4S0189	4S0188
4S0189F02	4S0189	4S0238
4S0189F03	4S0189	4S0187
4S0189F04	4S0189	4S0183
4S0189F07	4S0189	4S0210
4S0189F08	4S0189	4S0187
4S0189F09	4S0189	4S0192
4S0189F11	4S0189	4S0881
4S0189F12	4S0189	4S0188
4S0189F13	4S0189	4S0187
4S0189F14	4S0189	4S0200
4S0189F15	4S0189	4S0200
4S0197F01	4S0197	4S0219
4S0197F03	4S0197	4S0201
4S0197F04	4S0197	4S0190
4S0197F05	4S0197	4S0225
4S0197F07	4S0197	4S0204
4S0197F08	4S0197	4S0194
4S0197F09	4S0197	4S0220
4S0197F10	4S0197	4S0234
4S0197F11	4S0197	4S0202
4S0197F12	4S0197	4S0196
4S0197F13	4S0197	4S0884
4S0197F14	4S0197	4S0217
4S0197F15	4S0197	4S0880
4S0211F01	4S0211	4S0236
4S0211F02	4S0211	4S0232
4S0211F03	4S0211	4S0220
4S0211F04	4S0211	4S0221
4S0211F05	4S0211	4S0208
4S0211F06	4S0211	4S0239
4S0211F08	4S0211	4S0208
4S0211F09	4S0211	4S0205
4S0211F10	4S0211	4S0208
4S0211F11	4S0211	4S0220
4S0211F12	4S0211	4S0190
4S0211F13	4S0211	4S0884
4S0211F14	4S0211	4S0216
4S0211F15	4S0211	4S0208
4S0229F01	4S0229	4S0228
4S0229F02	4S0229	4S0226
4S0229F03	4S0229	4S0228
4S0229F04	4S0229	4S0228
4S0229F05	4S0229	4S0228
4S0229F06	4S0229	4S0228
4S0229F07	4S0229	4S0228
4S0229F08	4S0229	4S0229
4S0229F09	4S0229	4S0228
4S0229F10	4S0229	4S0228
4S0229F11	4S0229	4S0228
4S0229F12	4S0229	4S0229
4S0229F13	4S0229	4S0228
4S0229F14	4S0229	4S0228
4S0229F15	4S0229	4S0228
4S0232F01	4S0232	4S0231
4S0232F02	4S0232	4S0235
4S0232F03	4S0232	4S0194
4S0232F04	4S0232	4S0235
4S0232F05	4S0232	4S0181
4S0232F06	4S0232	4S0229
4S0232F07	4S0232	4S0231
4S0232F08	4S0232	4S0235
4S0232F10	4S0232	4S0235
4S0232F11	4S0232	4S0235
4S0232F12	4S0232	4S0235
4S0232F13	4S0232	4S0235
4S0232F14	4S0232	4S0229
4S0232F15	4S0232	4S0229
4S0238F01	4S0238	4S0235
4S0238F02	4S0238	4S0206
4S0238F03	4S0238	4S0227
4S0238F04	4S0238	4S0224
4S0238F05	4S0238	4S0238
4S0238F06	4S0238	4S0226
4S0238F08	4S0238	4S0235
4S0238F09	4S0238	4S0239
4S0238F10	4S0238	4S0239
4S0238F12	4S0238	4S0239
4S0238F13	4S0238	4S0219
4S0238F14	4S0238	4S0239
4S0238F15	4S0238	4S0884
S0043F01	S0043	S0133
S0043F02	S0043	S0062
S0043F03	S0043	S0116
S0043F04	S0043	S0843
S0043F06	S0043	S0139
S0043F08	S0043	S0146
S0043F09	S0043	S0842
S0043F11	S0043	S0062
S0043F12	S0043	S0148
S0073F01	S0073	S0154
S0073F02	S0073	S0153
S0073F03	S0073	S0073
S0073F04	S0073	S0083
S0073F05	S0073	S0066
S0073F06	S0073	S0058
S0073F07	S0073	S0154
S0073F08	S0073	S0857
S0073F09	S0073	S0083
S0073F11	S0073	S0072
S0073F12	S0073	S0083
S0073F13	S0073	S0154
S0073F15	S0073	S0143
S0075F01	S0075	S0058
S0075F02	S0075	S000A
S0075F03	S0075	S0074
S0075F05	S0075	S000A
S0075F06	S0075	S000A
S0075F07	S0075	S000A
S0075F08	S0075	S0074
S0075F09	S0075	S000A
S0075F11	S0075	S000A
S0075F12	S0075	S0081
S0075F13	S0075	S0078
S0075F14	S0075	S0119
S0075F15	S0075	S0074
S0079F01	S0079	S0070
S0079F02	S0079	S0075
S0079F03	S0079	S0865
S0079F04	S0079	S000A
S0079F05	S0079	S000B
S0079F06	S0079	S0865
S0079F07	S0079	S0067
S0079F08	S0079	S0062
S0079F09	S0079	S0041
S0079F10	S0079	S0130
S0079F11	S0079	S000B
S0079F12	S0079	S0865
S0079F13	S0079	S0865
S0079F14	S0079	S0072
S0079F15	S0079	S0865
S0088F01	S0088	S0087
S0088F02	S0088	S0868
S0088F03	S0088	S0096
S0088F04	S0088	S0157
S0088F05	S0088	S0130
S0088F07	S0088	S0130
S0088F09	S0088	S0133
S0088F10	S0088	S0860
S0088F11	S0088	S0135
S0088F12	S0088	S0049
S0088F13	S0088	S0087
S0088F14	S0088	S0066
S0088F15	S0088	S0133
S0094F01	S0094	S0091
S0094F02	S0094	S0093
S0094F04	S0094	S0129
S0094F05	S0094	S0093
S0094F06	S0094	S0092
S0094F08	S0094	S0112
S0094F09	S0094	S0041
S0094F10	S0094	S0091
S0094F11	S0094	S0093
S0094F12	S0094	S0093
S0094F13	S0094	S0092
S0094F14	S0094	S0090
S0094F17	S0094	S0126
S0094F19	S0094	S0130
S0094F20	S0094	S0093
S0109F01	S0109	S0106
S0109F02	S0109	S0122
S0109F03	S0109	S0119
S0109F04	S0109	S0122
S0109F06	S0109	S0135
S0109F07	S0109	S0122
S0109F08	S0109	S0122
S0109F09	S0109	S0135
S0109F10	S0109	S0124
S0109F11	S0109	S0109
S0109F15	S0109	S0876
S0151F01	S0151	S0067
S0151F03	S0151	S0083
S0151F04	S0151	S0843
S0151F05	S0151	S0860
S0151F06	S0151	S0143
S0151F07	S0151	S0843
S0151F09	S0151	S0135
S0151F11	S0151	S0844
S0151F12	S0151	S0147
S0151F13	S0151	S0062
S0151F14	S0151	S0067
S0151F15	S0151	S0055
S0157F01	S0157	S0123
S0157F03	S0157	S0157
S0157F04	S0157	S0050
S0157F05	S0157	S0046
S0157F06	S0157	S0140
S0157F07	S0157	S0130
S0157F10	S0157	S0048
S0157F11	S0157	S0157
S0157F12	S0157	S0858
S0157F14	S0157	S0157
S0157F15	S0157	S0090
S0867F01	S0867	S0868
S0867F02	S0867	S0058
S0867F03	S0867	S0124
S0867F04	S0867	S0123
S0867F05	S0867	S0868
S0867F06	S0867	S0856
S0867F07	S0867	S0124
S0867F09	S0867	S0128
S0867F11	S0867	S0873
S0867F12	S0867	S0147
S0867F13	S0867	S0090
S0867F14	S0867	S0873
S0867F15	S0867	S0111
S0868F01	S0868	S0093
S0868F02	S0868	S0093
S0868F03	S0868	S0093
S0868F04	S0868	S0128
S0868F05	S0868	S0092
S0868F06	S0868	S0097
S0868F07	S0868	S0873
S0868F08	S0868	S0130
S0868F10	S0868	S0132
S0868F11	S0868	S0108
S0868F12	S0868	S0865
S0868F13	S0868	S0092
S0868F14	S0868	S0130
S0868F15	S0868	S0064
S0870F01	S0870	S0869
S0870F02	S0870	S0120
S0870F03	S0870	S0098
S0870F04	S0870	S0869
S0870F05	S0870	S0096
S0870F06	S0870	S0093
S0870F07	S0870	S0120
S0870F08	S0870	S0120
S0870F09	S0870	S0120
S0870F10	S0870	S0869
S0870F11	S0870	S0122
S0870F12	S0870	S0869
S0870F13	S0870	S0120
S0870F14	S0870	S0101
S0870F15	S0870	S0869
Z0357F01	Z0357	Z0347
Z0357F02	Z0357	Z0568
Z0357F03	Z0357	Z0349
Z0357F04	Z0357	Z0330
Z0357F05	Z0357	Z0351
Z0357F07	Z0357	Z0329
Z0357F08	Z0357	Z0350
Z0357F09	Z0357	Z0564
Z0357F11	Z0357	Z0718
Z0357F12	Z0357	Z0349
Z0357F13	Z0357	Z0577
Z0357F14	Z0357	Z0349
Z0377F01	Z0377	Z0376
Z0377F02	Z0377	Z0327
Z0377F03	Z0377	Z0375
Z0377F04	Z0377	Z0375
Z0377F05	Z0377	Z0558
Z0377F06	Z0377	Z0375
Z0377F08	Z0377	Z0375
Z0377F09	Z0377	Z0374
Z0377F10	Z0377	Z0375
Z0377F11	Z0377	Z0718
Z0377F13	Z0377	Z0377
Z0377F14	Z0377	Z0375
Z0377F15	Z0377	Z0374
Z0386F01	Z0386	Z0733
Z0386F03	Z0386	Z0709
Z0386F05	Z0386	Z0388
Z0386F06	Z0386	Z0388
Z0386F07	Z0386	Z0595
Z0386F08	Z0386	Z0383
Z0386F09	Z0386	Z0573
Z0386F10	Z0386	Z0718
Z0386F11	Z0386	Z0573
Z0386F12	Z0386	Z0568
Z0386F13	Z0386	Z0388
Z0386F14	Z0386	Z0393
Z0386F15	Z0386	Z0390
Z0562F02	Z0562mother	Z0765
Z0562F03	Z0562mother	Z0385
Z0562F04	Z0562mother	Z0578
Z0562F09	Z0562mother	Z0583
Z0562F12	Z0562mother	Z0572
Z0562F13	Z0562mother	Z0578
Z0562F14	Z0562mother	Z0325
Z0562F15	Z0562mother	Z0745
Z0562F16	Z0562mother	Z0340
Z0562F17	Z0562mother	Z0557
Z0562F18	Z0562mother	Z0357
Z0562F20	Z0562mother	Z0330
Z0562F21	Z0562mother	Z0364
Z0562F22	Z0562mother	Z0387
Z0562F23	Z0562mother	Z0356
Z0562F26	Z0562mother	Z0583
Z0562F29	Z0562mother	Z0400
Z0598F01	Z0598	Z0361
Z0598F02	Z0598	Z0596
Z0598F04	Z0598	Z0583
Z0598F05	Z0598	Z0336
Z0598F06	Z0598	Z0709
Z0598F07	Z0598	Z0310
Z0598F08	Z0598	Z0576
Z0598F09	Z0598	Z0596
Z0598F10	Z0598	Z0596
Z0598F11	Z0598	Z0316
Z0598F12	Z0598	Z0561
Z0598F13	Z0598	Z0596
Z0598F15	Z0598	Z0596
Z0762F01	Z0762	Z0761
Z0762F02	Z0762	Z0761
Z0762F03	Z0762	Z0327
Z0762F04	Z0762	Z0761
Z0762F07	Z0762	Z0761
Z0762F08	Z0762	Z0564
Z0762F09	Z0762	Z0761
Z0762F11	Z0762	Z0708
Z0762F12	Z0762	Z0761
Z0762F13	Z0762	Z0761
Z0762F14	Z0762	Z0764
Z0762F15	Z0762	Z0761
Z0762F16	Z0762	Z0781
Z0762F17	Z0762	Z0761
Z0762F19	Z0762	Z0327
Z0762F20	Z0762	Z0761
Z0762F22	Z0762	Z0739
Z0762F23	Z0762	Z0761
Z0762F24	Z0762	Z0761
Z0762F25	Z0762	Z0761
Z0762F26	Z0762	Z0557
Z0762F27	Z0762	Z0761
Z0762F29	Z0762	Z0761
Z0765F01	Z0765	Z0761
Z0765F02	Z0765	Z0764
Z0765F03	Z0765	Z0761
Z0765F04	Z0765	Z0764
Z0765F05	Z0765	Z0764
Z0765F06	Z0765	Z0341
Z0765F07	Z0765	Z0761
Z0765F08	Z0765	Z0764
Z0765F09	Z0765	Z0761
Z0765F10	Z0765	Z0764
Z0765F12	Z0765	Z0761
Z0765F13	Z0765	Z0764
Z0765F14	Z0765	Z0764
Z0765F16	Z0765	Z0764
Z0765F17	Z0765	Z0761
Z0765F18	Z0765	Z0764
Z0765F19	Z0765	Z0761
Z0765F20	Z0765	Z0764
Z0765F21	Z0765	Z0764
Z0765F22	Z0765	Z0764
Z0765F23	Z0765	Z0764
Z0765F24	Z0765	Z0761
Z0765F25	Z0765	Z0727
Z0765F26	Z0765	Z0764
Z0765F27	Z0765	Z0761
Z0765F28	Z0765	Z0761
Z0765F30	Z0765	Z0365
Z0776F02	Z0776	Z0765
Z0776F03	Z0776	Z0765
Z0776F05	Z0776	Z0774
Z0776F06	Z0776	Z0774
Z0776F08	Z0776	Z0775
Z0776F10	Z0776	Z0765
Z0776F12	Z0776	Z0739
Z0776F13	Z0776	Z0779
Z0776F14	Z0776	Z0767
Z0776F15	Z0776	Z0748
